gt,clock,s1,s2,lead,tno,period,periodType,pno,player,success,actionType,actionNumber,previousAction,qualifier,subType,scoring,shirtNumber,firstName,familyName,internationalFirstName,internationalFamilyName,firstNameInitial,familyNameInitial,internationalFirstNameInitial,internationalFamilyNameInitial,scoreboardName
00:00,00:00:00,75,77,-2,0,4,REGULAR,0,,1,game,788,,[],end,0,,,,,,,,,,
00:00,00:00:00,75,77,-2,0,4,REGULAR,0,,1,period,786,,['confirmed'],end,0,,,,,,,,,,
03:54,03:54:00,75,73,2,1,4,REGULAR,11,A. Toney,1,assist,787,767,[],,0,5,Au'diese,Toney,Au'Diese,Toney,A,T,A,T,A. Toney
03:54,03:54:00,75,77,-2,2,4,REGULAR,11,M. Kraus,1,freethrow,784,,['fromturnover'],2of2,1,5,Mason,Kraus,Mason,Kraus,M,K,M,K,M. Kraus
03:54,03:54:00,75,76,-1,2,4,REGULAR,13,A. Chaney,1,assist,783,782,[],,0,11,Armani,Chaney,Armani,Chaney,A,C,A,C,A. Chaney
03:54,03:54:00,75,76,-1,2,4,REGULAR,11,M. Kraus,1,freethrow,782,,['fromturnover'],1of2,1,5,Mason,Kraus,Mason,Kraus,M,K,M,K,M. Kraus
03:54,03:54:00,75,75,0,2,4,REGULAR,11,M. Kraus,1,foulon,781,780,[],,0,5,Mason,Kraus,Mason,Kraus,M,K,M,K,M. Kraus
03:54,03:54:00,75,75,0,1,4,REGULAR,6,E. Bandoumel,1,foul,780,,"['shooting', '2freethrow']",personal,0,8,Emmanuel,Bandoumel,Emmanuel,Bandoumel,E,B,E,B,E. Bandoumel
03:54,03:54:00,75,75,0,2,4,REGULAR,13,A. Chaney,1,steal,778,777,[],,0,11,Armani,Chaney,Armani,Chaney,A,C,A,C,A. Chaney
03:54,03:54:00,75,75,0,1,4,REGULAR,10,T. King,1,turnover,777,,[],ballhandling,0,0,Tre,King,Tre,King,T,K,T,K,T. King
03:54,03:54:00,75,75,0,1,4,REGULAR,10,T. King,1,rebound,776,775,[],offensive,0,0,Tre,King,Tre,King,T,K,T,K,T. King
03:54,03:54:00,75,75,0,1,4,REGULAR,7,T. Donald,0,2pt,775,,['pointsinthepaint'],layup,1,3,Taye,Donald,Taye,Donald,T,D,T,D,T. Donald
03:54,03:54:00,75,75,0,1,4,REGULAR,0,,1,timeout,774,,[],full,0,,,,,,,,,,
03:54,03:54:00,75,75,0,2,4,REGULAR,3,T. Allen,1,freethrow,773,,[],2of2,1,8,Teddy,Allen,Teddy,Allen,T,A,T,A,T. Allen
03:54,03:54:00,75,74,1,2,4,REGULAR,3,T. Allen,1,freethrow,772,,[],1of2,1,8,Teddy,Allen,Teddy,Allen,T,A,T,A,T. Allen
03:54,03:54:00,75,73,2,2,4,REGULAR,3,T. Allen,1,foulon,771,770,[],,0,8,Teddy,Allen,Teddy,Allen,T,A,T,A,T. Allen
03:54,03:54:00,75,73,2,1,4,REGULAR,6,E. Bandoumel,1,foul,770,,"['shooting', '2freethrow']",personal,0,8,Emmanuel,Bandoumel,Emmanuel,Bandoumel,E,B,E,B,E. Bandoumel
03:54,03:54:00,75,73,2,1,4,REGULAR,14,D. Dainja,1,2pt,767,,['pointsinthepaint'],layup,1,42,Dain,Dainja,Dain,Dainja,D,D,D,D,D. Dainja
03:54,03:54:00,73,73,0,2,4,REGULAR,2,J. Tilmon Jr.,1,2pt,766,,"['2ndchance', 'pointsinthepaint']",layup,1,35,Jeremiah,Tilmon Jr.,Jeremiah,Tilmon Jr.,J,T,J,T,J. Tilmon Jr.
03:54,03:54:00,73,71,2,2,4,REGULAR,2,J. Tilmon Jr.,1,rebound,765,764,[],offensive,0,35,Jeremiah,Tilmon Jr.,Jeremiah,Tilmon Jr.,J,T,J,T,J. Tilmon Jr.
03:54,03:54:00,73,71,2,2,4,REGULAR,3,T. Allen,0,3pt,764,,['2ndchance'],jumpshot,1,8,Teddy,Allen,Teddy,Allen,T,A,T,A,T. Allen
03:54,03:54:00,73,71,2,2,4,REGULAR,3,T. Allen,1,rebound,763,762,[],offensive,0,8,Teddy,Allen,Teddy,Allen,T,A,T,A,T. Allen
03:54,03:54:00,73,71,2,2,4,REGULAR,13,A. Chaney,0,3pt,762,,[],jumpshot,1,11,Armani,Chaney,Armani,Chaney,A,C,A,C,A. Chaney
03:54,03:54:00,73,71,2,2,4,REGULAR,11,M. Kraus,1,rebound,761,760,[],defensive,0,5,Mason,Kraus,Mason,Kraus,M,K,M,K,M. Kraus
03:54,03:54:00,73,71,2,1,4,REGULAR,6,E. Bandoumel,0,2pt,760,,"['fromturnover', 'pointsinthepaint']",layup,1,8,Emmanuel,Bandoumel,Emmanuel,Bandoumel,E,B,E,B,E. Bandoumel
03:54,03:54:00,73,71,2,1,4,REGULAR,14,D. Dainja,1,steal,759,758,[],,0,42,Dain,Dainja,Dain,Dainja,D,D,D,D,D. Dainja
03:54,03:54:00,73,71,2,2,4,REGULAR,3,T. Allen,1,turnover,758,,[],badpass,0,8,Teddy,Allen,Teddy,Allen,T,A,T,A,T. Allen
03:54,03:54:00,73,71,2,2,4,REGULAR,11,M. Kraus,1,foulon,757,756,[],,0,5,Mason,Kraus,Mason,Kraus,M,K,M,K,M. Kraus
03:54,03:54:00,73,71,2,1,4,REGULAR,10,T. King,1,foul,756,,[],personal,0,0,Tre,King,Tre,King,T,K,T,K,T. King
03:54,03:54:00,73,71,2,2,4,REGULAR,11,M. Kraus,1,rebound,755,754,[],offensive,0,5,Mason,Kraus,Mason,Kraus,M,K,M,K,M. Kraus
03:54,03:54:00,73,71,2,2,4,REGULAR,6,E. Akot,0,3pt,754,,[],jumpshot,1,7,Emmanuel,Akot,Emmanuel,Akot,E,A,E,A,E. Akot
03:54,03:54:00,73,71,2,1,4,REGULAR,10,T. King,1,2pt,753,,[],stepbackjumpshot,1,0,Tre,King,Tre,King,T,K,T,K,T. King
03:54,03:54:00,71,71,0,2,4,REGULAR,2,J. Tilmon Jr.,1,2pt,752,,"['2ndchance', 'pointsinthepaint']",tipindunk,1,35,Jeremiah,Tilmon Jr.,Jeremiah,Tilmon Jr.,J,T,J,T,J. Tilmon Jr.
03:54,03:54:00,71,69,2,2,4,REGULAR,2,J. Tilmon Jr.,1,rebound,751,750,[],offensive,0,35,Jeremiah,Tilmon Jr.,Jeremiah,Tilmon Jr.,J,T,J,T,J. Tilmon Jr.
03:54,03:54:00,71,69,2,2,4,REGULAR,3,T. Allen,0,3pt,750,,[],jumpshot,1,8,Teddy,Allen,Teddy,Allen,T,A,T,A,T. Allen
03:54,03:54:00,71,69,2,1,4,REGULAR,14,D. Dainja,1,freethrow,749,,[],2of2,1,42,Dain,Dainja,Dain,Dainja,D,D,D,D,D. Dainja
03:54,03:54:00,70,69,1,1,4,REGULAR,14,D. Dainja,0,freethrow,748,,[],1of2,1,42,Dain,Dainja,Dain,Dainja,D,D,D,D,D. Dainja
03:54,03:54:00,70,69,1,1,4,REGULAR,14,D. Dainja,1,foulon,747,746,[],,0,42,Dain,Dainja,Dain,Dainja,D,D,D,D,D. Dainja
03:54,03:54:00,70,69,1,2,4,REGULAR,6,E. Akot,1,foul,746,,"['shooting', '2freethrow']",personal,0,7,Emmanuel,Akot,Emmanuel,Akot,E,A,E,A,E. Akot
03:54,03:54:00,70,69,1,2,4,REGULAR,13,A. Chaney,1,assist,745,744,[],,0,11,Armani,Chaney,Armani,Chaney,A,C,A,C,A. Chaney
03:54,03:54:00,70,69,1,2,4,REGULAR,11,M. Kraus,1,3pt,744,,[],jumpshot,1,5,Mason,Kraus,Mason,Kraus,M,K,M,K,M. Kraus
03:54,03:54:00,70,66,4,2,4,REGULAR,0,,1,rebound,742,741,['team'],defensive,0,,,,,,,,,,
03:54,03:54:00,70,66,4,1,4,REGULAR,10,T. King,0,2pt,741,,['pointsinthepaint'],jumpshot,1,0,Tre,King,Tre,King,T,K,T,K,T. King
03:54,03:54:00,70,66,4,2,4,REGULAR,3,T. Allen,1,freethrow,740,,[],1of1,1,8,Teddy,Allen,Teddy,Allen,T,A,T,A,T. Allen
03:54,03:54:00,70,65,5,2,4,REGULAR,3,T. Allen,1,foulon,739,738,[],,0,8,Teddy,Allen,Teddy,Allen,T,A,T,A,T. Allen
03:54,03:54:00,70,65,5,1,4,REGULAR,11,A. Toney,1,foul,738,,"['shooting', '1freethrow']",personal,0,5,Au'diese,Toney,Au'Diese,Toney,A,T,A,T,A. Toney
03:54,03:54:00,70,65,5,2,4,REGULAR,3,T. Allen,1,2pt,737,,['pointsinthepaint'],turnaroundjumpshot,1,8,Teddy,Allen,Teddy,Allen,T,A,T,A,T. Allen
03:54,03:54:00,70,63,7,1,4,REGULAR,6,E. Bandoumel,1,assist,736,735,[],,0,8,Emmanuel,Bandoumel,Emmanuel,Bandoumel,E,B,E,B,E. Bandoumel
03:54,03:54:00,70,63,7,1,4,REGULAR,14,D. Dainja,1,2pt,735,,['pointsinthepaint'],dunk,1,42,Dain,Dainja,Dain,Dainja,D,D,D,D,D. Dainja
03:54,03:54:00,68,63,5,2,4,REGULAR,5,D. Walker,1,substitution,733,,[],out,0,1,David,Walker,David,Walker,D,W,D,W,D. Walker
03:54,03:54:00,68,63,5,2,4,REGULAR,11,M. Kraus,1,substitution,734,,[],in,0,5,Mason,Kraus,Mason,Kraus,M,K,M,K,M. Kraus
04:02,04:02:00,68,63,5,1,4,REGULAR,11,A. Toney,0,freethrow,729,,['fastbreak'],1of1,1,5,Au'diese,Toney,Au'Diese,Toney,A,T,A,T,A. Toney
04:02,04:02:00,68,63,5,1,4,REGULAR,11,A. Toney,1,foulon,728,727,[],,0,5,Au'diese,Toney,Au'Diese,Toney,A,T,A,T,A. Toney
04:02,04:02:00,68,63,5,2,4,REGULAR,3,T. Allen,1,foul,727,,['1freethrow'],unsportsmanlike,0,8,Teddy,Allen,Teddy,Allen,T,A,T,A,T. Allen
04:02,04:02:00,68,63,5,1,4,REGULAR,10,T. King,1,assist,726,725,[],,0,0,Tre,King,Tre,King,T,K,T,K,T. King
04:02,04:02:00,68,63,5,1,4,REGULAR,11,A. Toney,1,2pt,725,,"['fromturnover', 'pointsinthepaint', 'fastbreak']",layup,1,5,Au'diese,Toney,Au'Diese,Toney,A,T,A,T,A. Toney
04:07,04:07:00,66,63,3,1,4,REGULAR,14,D. Dainja,1,steal,723,722,[],,0,42,Dain,Dainja,Dain,Dainja,D,D,D,D,D. Dainja
04:07,04:07:00,66,63,3,2,4,REGULAR,3,T. Allen,1,turnover,722,,[],badpass,0,8,Teddy,Allen,Teddy,Allen,T,A,T,A,T. Allen
04:24,04:24:00,66,63,3,1,4,REGULAR,14,D. Dainja,1,2pt,721,,"['2ndchance', 'pointsinthepaint']",tipindunk,1,42,Dain,Dainja,Dain,Dainja,D,D,D,D,D. Dainja
04:24,04:24:00,64,63,1,1,4,REGULAR,14,D. Dainja,1,rebound,720,719,[],offensive,0,42,Dain,Dainja,Dain,Dainja,D,D,D,D,D. Dainja
04:28,04:28:00,64,63,1,1,4,REGULAR,7,T. Donald,0,2pt,719,,"['2ndchance', 'pointsinthepaint']",layup,1,3,Taye,Donald,Taye,Donald,T,D,T,D,T. Donald
04:29,04:29:00,64,63,1,1,4,REGULAR,7,T. Donald,1,rebound,718,717,[],offensive,0,3,Taye,Donald,Taye,Donald,T,D,T,D,T. Donald
04:33,04:33:00,64,63,1,1,4,REGULAR,11,A. Toney,0,3pt,717,,[],jumpshot,1,5,Au'diese,Toney,Au'Diese,Toney,A,T,A,T,A. Toney
04:36,04:36:00,64,63,1,1,4,REGULAR,10,T. King,1,rebound,716,715,[],defensive,0,0,Tre,King,Tre,King,T,K,T,K,T. King
04:39,04:39:00,64,63,1,2,4,REGULAR,5,D. Walker,0,2pt,715,,"['fromturnover', 'pointsinthepaint']",drivinglayup,1,1,David,Walker,David,Walker,D,W,D,W,D. Walker
04:43,04:43:00,64,63,1,2,4,REGULAR,5,D. Walker,1,steal,714,713,[],,0,1,David,Walker,David,Walker,D,W,D,W,D. Walker
04:43,04:43:00,64,63,1,1,4,REGULAR,6,E. Bandoumel,1,turnover,713,,[],ballhandling,0,8,Emmanuel,Bandoumel,Emmanuel,Bandoumel,E,B,E,B,E. Bandoumel
04:50,04:50:00,64,63,1,1,4,REGULAR,14,D. Dainja,1,rebound,712,711,[],defensive,0,42,Dain,Dainja,Dain,Dainja,D,D,D,D,D. Dainja
04:52,04:52:00,64,63,1,2,4,REGULAR,6,E. Akot,0,3pt,711,,[],stepbackjumpshot,1,7,Emmanuel,Akot,Emmanuel,Akot,E,A,E,A,E. Akot
05:08,05:08:00,64,63,1,1,4,REGULAR,11,A. Toney,1,substitution,709,,[],in,0,5,Au'diese,Toney,Au'Diese,Toney,A,T,A,T,A. Toney
05:08,05:08:00,64,63,1,1,4,REGULAR,10,T. King,1,substitution,708,,[],in,0,0,Tre,King,Tre,King,T,K,T,K,T. King
05:08,05:08:00,64,63,1,1,4,REGULAR,12,S. Teel,1,substitution,706,,[],out,0,2,Samage,Teel,Samage,Teel,S,T,S,T,S. Teel
05:08,05:08:00,64,63,1,1,4,REGULAR,3,A. Rhooms,1,substitution,707,,[],out,0,12,Aaron,Rhooms,Aaron,Rhooms,A,R,A,R,A. Rhooms
05:19,05:19:00,64,63,1,1,4,REGULAR,3,A. Rhooms,1,assist,704,703,[],,0,12,Aaron,Rhooms,Aaron,Rhooms,A,R,A,R,A. Rhooms
05:19,05:19:00,64,63,1,1,4,REGULAR,14,D. Dainja,1,2pt,703,,['pointsinthepaint'],drivinglayup,1,42,Dain,Dainja,Dain,Dainja,D,D,D,D,D. Dainja
05:32,05:32:00,62,63,-1,2,4,REGULAR,3,T. Allen,1,assist,702,701,[],,0,8,Teddy,Allen,Teddy,Allen,T,A,T,A,T. Allen
05:32,05:32:00,62,63,-1,2,4,REGULAR,2,J. Tilmon Jr.,1,2pt,701,,['pointsinthepaint'],jumpshot,1,35,Jeremiah,Tilmon Jr.,Jeremiah,Tilmon Jr.,J,T,J,T,J. Tilmon Jr.
05:56,05:56:00,62,61,1,1,4,REGULAR,7,T. Donald,1,assist,700,699,[],,0,3,Taye,Donald,Taye,Donald,T,D,T,D,T. Donald
05:56,05:56:00,62,61,1,1,4,REGULAR,6,E. Bandoumel,1,3pt,699,,[],jumpshot,1,8,Emmanuel,Bandoumel,Emmanuel,Bandoumel,E,B,E,B,E. Bandoumel
05:58,05:58:00,59,61,-2,1,4,REGULAR,3,A. Rhooms,1,rebound,698,697,[],defensive,0,12,Aaron,Rhooms,Aaron,Rhooms,A,R,A,R,A. Rhooms
06:00,06:00:00,59,61,-2,2,4,REGULAR,3,T. Allen,0,2pt,697,,['pointsinthepaint'],layup,1,8,Teddy,Allen,Teddy,Allen,T,A,T,A,T. Allen
06:28,06:28:00,59,61,-2,1,4,REGULAR,14,D. Dainja,1,freethrow,694,,[],2of2,1,42,Dain,Dainja,Dain,Dainja,D,D,D,D,D. Dainja
06:28,06:28:00,58,61,-3,1,4,REGULAR,14,D. Dainja,1,freethrow,693,,[],1of2,1,42,Dain,Dainja,Dain,Dainja,D,D,D,D,D. Dainja
06:28,06:28:00,57,61,-4,2,4,REGULAR,0,,1,timeout,692,,[],full,0,,,,,,,,,,
06:28,06:28:00,57,61,-4,1,4,REGULAR,14,D. Dainja,1,foulon,691,690,[],,0,42,Dain,Dainja,Dain,Dainja,D,D,D,D,D. Dainja
06:28,06:28:00,57,61,-4,2,4,REGULAR,6,E. Akot,1,foul,690,,"['shooting', '2freethrow']",personal,0,7,Emmanuel,Akot,Emmanuel,Akot,E,A,E,A,E. Akot
06:33,06:33:00,57,61,-4,1,4,REGULAR,14,D. Dainja,1,rebound,688,687,[],defensive,0,42,Dain,Dainja,Dain,Dainja,D,D,D,D,D. Dainja
06:36,06:36:00,57,61,-4,2,4,REGULAR,5,D. Walker,0,3pt,687,,[],jumpshot,1,1,David,Walker,David,Walker,D,W,D,W,D. Walker
06:56,06:56:00,57,61,-4,1,4,REGULAR,3,A. Rhooms,1,2pt,686,,['pointsinthepaint'],turnaroundjumpshot,1,12,Aaron,Rhooms,Aaron,Rhooms,A,R,A,R,A. Rhooms
07:04,07:04:00,55,61,-6,1,4,REGULAR,7,T. Donald,1,rebound,685,684,[],defensive,0,3,Taye,Donald,Taye,Donald,T,D,T,D,T. Donald
07:07,07:07:00,55,61,-6,2,4,REGULAR,13,A. Chaney,0,2pt,684,,"['2ndchance', 'pointsinthepaint']",floatingjumpshot,1,11,Armani,Chaney,Armani,Chaney,A,C,A,C,A. Chaney
07:16,07:16:00,55,61,-6,2,4,REGULAR,2,J. Tilmon Jr.,1,rebound,683,682,[],offensive,0,35,Jeremiah,Tilmon Jr.,Jeremiah,Tilmon Jr.,J,T,J,T,J. Tilmon Jr.
07:21,07:21:00,55,61,-6,2,4,REGULAR,3,T. Allen,0,3pt,682,,[],jumpshot,1,8,Teddy,Allen,Teddy,Allen,T,A,T,A,T. Allen
07:37,07:37:00,55,61,-6,1,4,REGULAR,6,E. Bandoumel,1,2pt,681,,['pointsinthepaint'],layup,1,8,Emmanuel,Bandoumel,Emmanuel,Bandoumel,E,B,E,B,E. Bandoumel
07:59,07:59:00,53,61,-8,2,4,REGULAR,3,T. Allen,1,freethrow,679,,[],2of2,1,8,Teddy,Allen,Teddy,Allen,T,A,T,A,T. Allen
07:59,07:59:00,53,60,-7,2,4,REGULAR,3,T. Allen,1,freethrow,678,,[],1of2,1,8,Teddy,Allen,Teddy,Allen,T,A,T,A,T. Allen
07:59,07:59:00,53,59,-6,1,4,REGULAR,3,A. Rhooms,1,substitution,677,,[],in,0,12,Aaron,Rhooms,Aaron,Rhooms,A,R,A,R,A. Rhooms
07:59,07:59:00,53,59,-6,1,4,REGULAR,6,E. Bandoumel,1,substitution,676,,[],in,0,8,Emmanuel,Bandoumel,Emmanuel,Bandoumel,E,B,E,B,E. Bandoumel
07:59,07:59:00,53,59,-6,1,4,REGULAR,11,A. Toney,1,substitution,674,,[],out,0,5,Au'diese,Toney,Au'Diese,Toney,A,T,A,T,A. Toney
07:59,07:59:00,53,59,-6,1,4,REGULAR,1,M. Bourcier,1,substitution,675,,[],out,0,13,Mason,Bourcier,Mason,Bourcier,M,B,M,B,M. Bourcier
07:59,07:59:00,53,59,-6,2,4,REGULAR,3,T. Allen,1,foulon,673,672,[],,0,8,Teddy,Allen,Teddy,Allen,T,A,T,A,T. Allen
07:59,07:59:00,53,59,-6,1,4,REGULAR,1,M. Bourcier,1,foul,672,,"['shooting', '2freethrow']",personal,0,13,Mason,Bourcier,Mason,Bourcier,M,B,M,B,M. Bourcier
08:02,08:02:00,53,59,-6,2,4,REGULAR,6,E. Akot,1,rebound,669,668,[],defensive,0,7,Emmanuel,Akot,Emmanuel,Akot,E,A,E,A,E. Akot
08:05,08:05:00,53,59,-6,1,4,REGULAR,7,T. Donald,0,3pt,668,,[],jumpshot,1,3,Taye,Donald,Taye,Donald,T,D,T,D,T. Donald
08:18,08:18:00,53,59,-6,2,4,REGULAR,3,T. Allen,1,2pt,667,,"['pointsinthepaint', 'fastbreak']",layup,1,8,Teddy,Allen,Teddy,Allen,T,A,T,A,T. Allen
08:24,08:24:00,53,57,-4,2,4,REGULAR,3,T. Allen,1,rebound,666,665,[],defensive,0,8,Teddy,Allen,Teddy,Allen,T,A,T,A,T. Allen
08:27,08:27:00,53,57,-4,1,4,REGULAR,12,S. Teel,0,3pt,665,,[],jumpshot,1,2,Samage,Teel,Samage,Teel,S,T,S,T,S. Teel
08:39,08:39:00,53,57,-4,2,4,REGULAR,2,J. Tilmon Jr.,1,substitution,663,,[],in,0,35,Jeremiah,Tilmon Jr.,Jeremiah,Tilmon Jr.,J,T,J,T,J. Tilmon Jr.
08:39,08:39:00,53,57,-4,2,4,REGULAR,5,D. Walker,1,substitution,662,,[],in,0,1,David,Walker,David,Walker,D,W,D,W,D. Walker
08:39,08:39:00,53,57,-4,2,4,REGULAR,9,D. Warren,1,substitution,660,,[],out,0,3,Davion,Warren,Davion,Warren,D,W,D,W,D. Warren
08:39,08:39:00,53,57,-4,2,4,REGULAR,4,S. Hildebrandt,1,substitution,661,,[],out,0,15,Simon,Hildebrandt,Simon,Hildebrandt,S,H,S,H,S. Hildebrandt
08:39,08:39:00,53,57,-4,1,4,REGULAR,14,D. Dainja,1,substitution,659,,[],in,0,42,Dain,Dainja,Dain,Dainja,D,D,D,D,D. Dainja
08:39,08:39:00,53,57,-4,1,4,REGULAR,1,M. Bourcier,1,substitution,658,,[],in,0,13,Mason,Bourcier,Mason,Bourcier,M,B,M,B,M. Bourcier
08:39,08:39:00,53,57,-4,1,4,REGULAR,6,E. Bandoumel,1,substitution,656,,[],out,0,8,Emmanuel,Bandoumel,Emmanuel,Bandoumel,E,B,E,B,E. Bandoumel
08:39,08:39:00,53,57,-4,1,4,REGULAR,7,T. Donald,1,substitution,657,,[],in,0,3,Taye,Donald,Taye,Donald,T,D,T,D,T. Donald
08:39,08:39:00,53,57,-4,1,4,REGULAR,10,T. King,1,substitution,654,,[],out,0,0,Tre,King,Tre,King,T,K,T,K,T. King
08:39,08:39:00,53,57,-4,1,4,REGULAR,2,A. Mohamed,1,substitution,655,,[],out,0,7,Abdul,Mohamed,Abdul,Mohamed,A,M,A,M,A. Mohamed
08:39,08:39:00,53,57,-4,1,4,REGULAR,0,,1,rebound,653,651,['team'],defensive,0,,,,,,,,,,
